movieId;title;transacao_json;quantidade_itens
627;Last Supper, The (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
628;Primal Fear (1996);"[""avaliacao_media"", ""genero_crime"", ""genero_drama"", ""genero_misterio"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";7
631;All Dogs Go to Heaven 2 (1996);"[""avaliacao_media"", ""genero_animacao"", ""genero_aventura"", ""genero_fantasia"", ""genero_infantil"", ""genero_musical"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";9
637;Sgt. Bilko (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
640;Diabolique (1996);"[""avaliacao_baixa"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
647;Courage Under Fire (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_crime"", ""genero_drama"", ""genero_guerra"", ""periodo_1990_1999"", ""popularidade_media""]";7
648;Mission: Impossible (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_misterio"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";7
653;Dragonheart (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_fantasia"", ""periodo_1990_1999"", ""popularidade_alta""]";6
656;Eddie (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
661;James and the Giant Peach (1996);"[""avaliacao_media"", ""genero_animacao"", ""genero_aventura"", ""genero_fantasia"", ""genero_infantil"", ""genero_musical"", ""periodo_1990_1999"", ""popularidade_media""]";8
662;Fear (1996);"[""avaliacao_media"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
663;Kids in the Hall: Brain Candy (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
667;Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996);"[""avaliacao_baixa"", ""genero_acao"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
671;Mystery Science Theater 3000: The Movie (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_ficcao_cientifica"", ""periodo_1990_1999"", ""popularidade_media""]";5
673;Space Jam (1996);"[""avaliacao_baixa"", ""genero_animacao"", ""genero_aventura"", ""genero_comedia"", ""genero_fantasia"", ""genero_ficcao_cientifica"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_alta""]";9
674;Barbarella (1968);"[""avaliacao_media"", ""genero_aventura"", ""genero_comedia"", ""genero_ficcao_cientifica"", ""periodo_1950_1969"", ""popularidade_baixa""]";6
678;Some Folks Call It a Sling Blade (1993);"[""avaliacao_media"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
688;Operation Dumbo Drop (1995);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""genero_comedia"", ""genero_guerra"", ""periodo_1990_1999"", ""popularidade_baixa""]";7
694;Substitute, The (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_crime"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";6
697;Feeling Minnesota (1996);"[""avaliacao_baixa"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
700;Angus (1995);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
704;Quest, The (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
707;Mulholland Falls (1996);"[""avaliacao_baixa"", ""genero_crime"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";6
708;Truth About Cats & Dogs, The (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";5
709;Oliver & Company (1988);"[""avaliacao_media"", ""genero_animacao"", ""genero_aventura"", ""genero_comedia"", ""genero_infantil"", ""genero_musical"", ""periodo_1970_1989"", ""popularidade_media""]";8
710;Celtic Pride (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
711;Flipper (1996);"[""avaliacao_media"", ""genero_aventura"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";5
714;Dead Man (1995);"[""avaliacao_media"", ""genero_drama"", ""genero_faroeste"", ""genero_misterio"", ""periodo_1990_1999"", ""popularidade_media""]";6
719;Multiplicity (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
720;Wallace & Gromit: The Best of Aardman Animation (1996);"[""avaliacao_alta"", ""genero_animacao"", ""genero_aventura"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";6
724;Craft, The (1996);"[""avaliacao_media"", ""genero_drama"", ""genero_fantasia"", ""genero_suspense"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_media""]";7
725;Great White Hype, The (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
728;Cold Comfort Farm (1995);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
733;Rock, The (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
735;Cemetery Man (Dellamorte Dellamore) (1994);"[""avaliacao_media"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
736;Twister (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_romance"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";7
737;Barb Wire (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_ficcao_cientifica"", ""periodo_1990_1999"", ""popularidade_media""]";5
741;Ghost in the Shell (Kôkaku kidôtai) (1995);"[""avaliacao_alta"", ""genero_animacao"", ""genero_ficcao_cientifica"", ""periodo_1990_1999"", ""popularidade_media""]";5
742;Thinner (1996);"[""avaliacao_baixa"", ""genero_suspense"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_media""]";5
743;Spy Hard (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
745;Wallace & Gromit: A Close Shave (1995);"[""avaliacao_media"", ""genero_animacao"", ""genero_comedia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";6
748;Arrival, The (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_ficcao_cientifica"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";6
750;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964);"[""avaliacao_alta"", ""genero_comedia"", ""genero_guerra"", ""periodo_1950_1969"", ""popularidade_alta""]";5
761;Phantom, The (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""periodo_1990_1999"", ""popularidade_media""]";5
762;Striptease (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_crime"", ""periodo_1990_1999"", ""popularidade_media""]";5
765;Jack (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";5
778;Trainspotting (1996);"[""avaliacao_alta"", ""genero_comedia"", ""genero_crime"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_alta""]";6
780;Independence Day (a.k.a. ID4) (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_ficcao_cientifica"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";7
781;Stealing Beauty (1996);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
782;Fan, The (1996);"[""avaliacao_media"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
783;Hunchback of Notre Dame, The (1996);"[""avaliacao_media"", ""genero_animacao"", ""genero_drama"", ""genero_infantil"", ""genero_musical"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";8
784;Cable Guy, The (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";5
785;Kingpin (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
786;Eraser (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
788;Nutty Professor, The (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_fantasia"", ""genero_ficcao_cientifica"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";7
798;Daylight (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";7
799;Frighteners, The (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_suspense"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_media""]";6
800;Lone Star (1996);"[""avaliacao_alta"", ""genero_drama"", ""genero_faroeste"", ""genero_misterio"", ""periodo_1990_1999"", ""popularidade_media""]";6
801;Harriet the Spy (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";5
802;Phenomenon (1996);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";5
804;She's the One (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
805;Time to Kill, A (1996);"[""avaliacao_media"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
809;Fled (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
810;Kazaam (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_fantasia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";6
813;Larger Than Life (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
818;Very Brady Sequel, A (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
828;Adventures of Pinocchio, The (1996);"[""avaliacao_media"", ""genero_aventura"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
829;Joe's Apartment (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_fantasia"", ""genero_musical"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
830;First Wives Club, The (1996);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
832;Ransom (1996);"[""avaliacao_media"", ""genero_crime"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
833;High School High (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
836;Chain Reaction (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";6
837;Matilda (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_fantasia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";6
838;Emma (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
839;Crow: City of Angels, The (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
842;Tales from the Crypt Presents: Bordello of Blood (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_media""]";5
848;Spitfire Grill, The (1996);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
849;Escape from L.A. (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""genero_ficcao_cientifica"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";7
851;Basquiat (1996);"[""avaliacao_baixa"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
852;Tin Cup (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
858;Godfather, The (1972);"[""avaliacao_alta"", ""genero_crime"", ""genero_drama"", ""periodo_1970_1989"", ""popularidade_alta""]";5
861;Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992);"[""avaliacao_media"", ""genero_acao"", ""genero_comedia"", ""genero_crime"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";7
866;Bound (1996);"[""avaliacao_alta"", ""genero_crime"", ""genero_drama"", ""genero_romance"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";7
880;Island of Dr. Moreau, The (1996);"[""avaliacao_baixa"", ""genero_ficcao_cientifica"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";5
881;First Kid (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
886;Bulletproof (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_comedia"", ""genero_crime"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
891;Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995);"[""avaliacao_media"", ""genero_suspense"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
892;Twelfth Night (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_media""]";6
898;Philadelphia Story, The (1940);"[""avaliacao_alta"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_media""]";6
899;Singin' in the Rain (1952);"[""avaliacao_alta"", ""genero_comedia"", ""genero_musical"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";6
900;American in Paris, An (1951);"[""avaliacao_media"", ""genero_musical"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";5
901;Funny Face (1957);"[""avaliacao_media"", ""genero_comedia"", ""genero_musical"", ""periodo_1950_1969"", ""popularidade_baixa""]";5
902;Breakfast at Tiffany's (1961);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";5
903;Vertigo (1958);"[""avaliacao_alta"", ""genero_drama"", ""genero_misterio"", ""genero_romance"", ""genero_suspense"", ""periodo_1950_1969"", ""popularidade_alta""]";7
904;Rear Window (1954);"[""avaliacao_alta"", ""genero_misterio"", ""genero_suspense"", ""periodo_1950_1969"", ""popularidade_alta""]";5
905;It Happened One Night (1934);"[""avaliacao_alta"", ""genero_comedia"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_media""]";5
906;Gaslight (1944);"[""avaliacao_alta"", ""genero_drama"", ""genero_suspense"", ""periodo_antes_1950"", ""popularidade_baixa""]";5
908;North by Northwest (1959);"[""avaliacao_alta"", ""genero_acao"", ""genero_aventura"", ""genero_misterio"", ""genero_romance"", ""genero_suspense"", ""periodo_1950_1969"", ""popularidade_alta""]";8
909;Apartment, The (1960);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";6
910;Some Like It Hot (1959);"[""avaliacao_alta"", ""genero_comedia"", ""genero_crime"", ""periodo_1950_1969"", ""popularidade_alta""]";5
911;Charade (1963);"[""avaliacao_media"", ""genero_comedia"", ""genero_crime"", ""genero_misterio"", ""genero_romance"", ""genero_suspense"", ""periodo_1950_1969"", ""popularidade_media""]";8
912;Casablanca (1942);"[""avaliacao_alta"", ""genero_drama"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_alta""]";5
913;Maltese Falcon, The (1941);"[""avaliacao_alta"", ""genero_film_noir"", ""genero_misterio"", ""periodo_antes_1950"", ""popularidade_media""]";5
914;My Fair Lady (1964);"[""avaliacao_alta"", ""genero_comedia"", ""genero_drama"", ""genero_musical"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";7
915;Sabrina (1954);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";5
916;Roman Holiday (1953);"[""avaliacao_alta"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";6
918;Meet Me in St. Louis (1944);"[""avaliacao_alta"", ""genero_musical"", ""periodo_antes_1950"", ""popularidade_media""]";4
919;Wizard of Oz, The (1939);"[""avaliacao_media"", ""genero_aventura"", ""genero_fantasia"", ""genero_infantil"", ""genero_musical"", ""periodo_antes_1950"", ""popularidade_alta""]";7
920;Gone with the Wind (1939);"[""avaliacao_media"", ""genero_drama"", ""genero_guerra"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_media""]";6
921;My Favorite Year (1982);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1970_1989"", ""popularidade_baixa""]";4
922;Sunset Blvd. (a.k.a. Sunset Boulevard) (1950);"[""avaliacao_alta"", ""genero_drama"", ""genero_film_noir"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";6
923;Citizen Kane (1941);"[""avaliacao_alta"", ""genero_drama"", ""genero_misterio"", ""periodo_antes_1950"", ""popularidade_alta""]";5
924;2001: A Space Odyssey (1968);"[""avaliacao_media"", ""genero_aventura"", ""genero_drama"", ""genero_ficcao_cientifica"", ""periodo_1950_1969"", ""popularidade_alta""]";6
926;All About Eve (1950);"[""avaliacao_alta"", ""genero_drama"", ""periodo_1950_1969"", ""popularidade_media""]";4
928;Rebecca (1940);"[""avaliacao_alta"", ""genero_drama"", ""genero_misterio"", ""genero_romance"", ""genero_suspense"", ""periodo_antes_1950"", ""popularidade_media""]";7
930;Notorious (1946);"[""avaliacao_alta"", ""genero_film_noir"", ""genero_romance"", ""genero_suspense"", ""periodo_antes_1950"", ""popularidade_media""]";6
931;Spellbound (1945);"[""avaliacao_media"", ""genero_misterio"", ""genero_romance"", ""genero_suspense"", ""periodo_antes_1950"", ""popularidade_baixa""]";6
932;Affair to Remember, An (1957);"[""avaliacao_media"", ""genero_drama"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_baixa""]";5
933;To Catch a Thief (1955);"[""avaliacao_alta"", ""genero_crime"", ""genero_misterio"", ""genero_romance"", ""genero_suspense"", ""periodo_1950_1969"", ""popularidade_media""]";7
934;Father of the Bride (1950);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1950_1969"", ""popularidade_media""]";4
936;Ninotchka (1939);"[""avaliacao_alta"", ""genero_comedia"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_baixa""]";5
938;Gigi (1958);"[""avaliacao_media"", ""genero_musical"", ""periodo_1950_1969"", ""popularidade_baixa""]";4
940;Adventures of Robin Hood, The (1938);"[""avaliacao_alta"", ""genero_acao"", ""genero_aventura"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_baixa""]";6
942;Laura (1944);"[""avaliacao_alta"", ""genero_crime"", ""genero_film_noir"", ""genero_misterio"", ""periodo_antes_1950"", ""popularidade_baixa""]";6
943;Ghost and Mrs. Muir, The (1947);"[""avaliacao_media"", ""genero_drama"", ""genero_fantasia"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_baixa""]";6
945;Top Hat (1935);"[""avaliacao_alta"", ""genero_comedia"", ""genero_musical"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_baixa""]";6
948;Giant (1956);"[""avaliacao_media"", ""genero_drama"", ""genero_faroeste"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_baixa""]";6
949;East of Eden (1955);"[""avaliacao_media"", ""genero_drama"", ""periodo_1950_1969"", ""popularidade_baixa""]";4
950;Thin Man, The (1934);"[""avaliacao_media"", ""genero_comedia"", ""genero_crime"", ""periodo_antes_1950"", ""popularidade_baixa""]";5
951;His Girl Friday (1940);"[""avaliacao_alta"", ""genero_comedia"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_media""]";5
952;Around the World in 80 Days (1956);"[""avaliacao_media"", ""genero_aventura"", ""genero_comedia"", ""periodo_1950_1969"", ""popularidade_media""]";5
953;It's a Wonderful Life (1946);"[""avaliacao_alta"", ""genero_drama"", ""genero_fantasia"", ""genero_infantil"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_alta""]";7
954;Mr. Smith Goes to Washington (1939);"[""avaliacao_alta"", ""genero_drama"", ""periodo_antes_1950"", ""popularidade_media""]";4
955;Bringing Up Baby (1938);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_antes_1950"", ""popularidade_media""]";5
965;39 Steps, The (1935);"[""avaliacao_alta"", ""genero_drama"", ""genero_misterio"", ""genero_suspense"", ""periodo_antes_1950"", ""popularidade_media""]";6
968;Night of the Living Dead (1968);"[""avaliacao_media"", ""genero_ficcao_cientifica"", ""genero_suspense"", ""genero_terror"", ""periodo_1950_1969"", ""popularidade_media""]";6
969;African Queen, The (1951);"[""avaliacao_media"", ""genero_aventura"", ""genero_comedia"", ""genero_guerra"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";7
971;Cat on a Hot Tin Roof (1958);"[""avaliacao_alta"", ""genero_drama"", ""periodo_1950_1969"", ""popularidade_media""]";4
973;Meet John Doe (1941);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""periodo_antes_1950"", ""popularidade_baixa""]";5
986;Fly Away Home (1996);"[""avaliacao_media"", ""genero_aventura"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";5
990;Maximum Risk (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_aventura"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
991;Michael Collins (1996);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";4
994;Big Night (1996);"[""avaliacao_alta"", ""genero_comedia"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";5
996;Last Man Standing (1996);"[""avaliacao_baixa"", ""genero_acao"", ""genero_crime"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_media""]";7
999;2 Days in the Valley (1996);"[""avaliacao_media"", ""genero_crime"", ""genero_film_noir"", ""periodo_1990_1999"", ""popularidade_media""]";5
1004;Glimmer Man, The (1996);"[""avaliacao_media"", ""genero_acao"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
1005;D3: The Mighty Ducks (1996);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
1006;Chamber, The (1996);"[""avaliacao_media"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_baixa""]";4
1007;Apple Dumpling Gang, The (1975);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_faroeste"", ""genero_infantil"", ""periodo_1970_1989"", ""popularidade_media""]";6
1009;Escape to Witch Mountain (1975);"[""avaliacao_media"", ""genero_aventura"", ""genero_fantasia"", ""genero_infantil"", ""periodo_1970_1989"", ""popularidade_baixa""]";6
1010;Love Bug, The (1969);"[""avaliacao_media"", ""genero_comedia"", ""genero_infantil"", ""periodo_1950_1969"", ""popularidade_baixa""]";5
1011;Herbie Rides Again (1974);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_fantasia"", ""genero_infantil"", ""genero_romance"", ""periodo_1970_1989"", ""popularidade_baixa""]";7
1012;Old Yeller (1957);"[""avaliacao_media"", ""genero_drama"", ""genero_infantil"", ""periodo_1950_1969"", ""popularidade_baixa""]";5
1013;Parent Trap, The (1961);"[""avaliacao_media"", ""genero_comedia"", ""genero_infantil"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";6
1014;Pollyanna (1960);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_drama"", ""genero_infantil"", ""periodo_1950_1969"", ""popularidade_baixa""]";6
1015;Homeward Bound: The Incredible Journey (1993);"[""avaliacao_baixa"", ""genero_aventura"", ""genero_drama"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";6
1016;Shaggy Dog, The (1959);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_infantil"", ""periodo_1950_1969"", ""popularidade_baixa""]";5
1017;Swiss Family Robinson (1960);"[""avaliacao_media"", ""genero_aventura"", ""genero_infantil"", ""periodo_1950_1969"", ""popularidade_media""]";5
1018;That Darn Cat! (1965);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_infantil"", ""genero_misterio"", ""periodo_1950_1969"", ""popularidade_baixa""]";6
1019;20,000 Leagues Under the Sea (1954);"[""avaliacao_media"", ""genero_aventura"", ""genero_drama"", ""genero_ficcao_cientifica"", ""periodo_1950_1969"", ""popularidade_media""]";6
1020;Cool Runnings (1993);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
1021;Angels in the Outfield (1994);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_media""]";5
1022;Cinderella (1950);"[""avaliacao_media"", ""genero_animacao"", ""genero_fantasia"", ""genero_infantil"", ""genero_musical"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_media""]";8
1023;Winnie the Pooh and the Blustery Day (1968);"[""avaliacao_media"", ""genero_animacao"", ""genero_infantil"", ""genero_musical"", ""periodo_1950_1969"", ""popularidade_media""]";6
1024;Three Caballeros, The (1945);"[""avaliacao_media"", ""genero_animacao"", ""genero_infantil"", ""genero_musical"", ""periodo_antes_1950"", ""popularidade_baixa""]";6
1025;Sword in the Stone, The (1963);"[""avaliacao_media"", ""genero_animacao"", ""genero_fantasia"", ""genero_infantil"", ""genero_musical"", ""periodo_1950_1969"", ""popularidade_media""]";7
1027;Robin Hood: Prince of Thieves (1991);"[""avaliacao_media"", ""genero_aventura"", ""genero_drama"", ""periodo_1990_1999"", ""popularidade_media""]";5
1028;Mary Poppins (1964);"[""avaliacao_media"", ""genero_comedia"", ""genero_fantasia"", ""genero_infantil"", ""genero_musical"", ""periodo_1950_1969"", ""popularidade_alta""]";7
1029;Dumbo (1941);"[""avaliacao_media"", ""genero_animacao"", ""genero_drama"", ""genero_infantil"", ""genero_musical"", ""periodo_antes_1950"", ""popularidade_media""]";7
1030;Pete's Dragon (1977);"[""avaliacao_baixa"", ""genero_animacao"", ""genero_aventura"", ""genero_infantil"", ""genero_musical"", ""periodo_1970_1989"", ""popularidade_media""]";7
1031;Bedknobs and Broomsticks (1971);"[""avaliacao_media"", ""genero_aventura"", ""genero_infantil"", ""genero_musical"", ""periodo_1970_1989"", ""popularidade_media""]";6
1032;Alice in Wonderland (1951);"[""avaliacao_media"", ""genero_animacao"", ""genero_aventura"", ""genero_fantasia"", ""genero_infantil"", ""genero_musical"", ""periodo_1950_1969"", ""popularidade_media""]";8
1033;Fox and the Hound, The (1981);"[""avaliacao_media"", ""genero_animacao"", ""genero_drama"", ""genero_infantil"", ""periodo_1970_1989"", ""popularidade_media""]";6
1034;Freeway (1996);"[""avaliacao_media"", ""genero_comedia"", ""genero_crime"", ""genero_drama"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_baixa""]";7
1035;Sound of Music, The (1965);"[""avaliacao_media"", ""genero_musical"", ""genero_romance"", ""periodo_1950_1969"", ""popularidade_alta""]";5
